Institution,State,Region,Aid Policy,Total Cost of Attendance (out-of-state)(1),Full-Time Undergrads,Full-Time International Undergrads,Percentage of Internationals to All Undergrads,Average International Noncitizen Financial Aid Award,Percentage of International Noncitizens Receiving Aid 
Adelphi University ,NY,Mid-Atlantic,Merit,66256,4769,264,0.06,29435,0.4
Agnes Scott College,GA,Southeast,Need & Merit,62448,921,22,0.02,35518,1
Albion College,MI,Great Lakes,Merit,68900,1440,40,0.03,47757,1
Alfred University ,NY,Mid-Atlantic,Need & Merit,54604,1277,75,0.06,22767,0.92
Allegheny College,PA,Mid-Atlantic,Merit,70906,1322,54,0.04,42909,0.93
Alma College,MI,Great Lakes,Need & Merit,61550,1214,32,0.03,35566,0.97
American University,DC,Mid-Atlantic,Merit,71703,7411,682,0.09,36974,0.08
Amherst College,MA,New England,Need-Based,83650,1971,218,0.11,76739,0.8
Antioch College,OH,Great Lakes,Need & Merit,50383,138,0,0,,
Arizona State University ,AZ,Southwest,Merit,50101,58993,4281,0.07,10349,0.53
Auburn University,AL,Southeast,No Aid,55186,22715,707,0.03,0,0
Augustana College,IL,Great Lakes,Need & Merit,62242,2295,338,0.15,32556,0.91
Austin College,TX,Southwest,Merit,60558,1164,14,0.01,28688,1
Babson College,MA,New England,Need & Merit,77248,2709,782,0.29,,
Bard College,NY,Mid-Atlantic,Need-Based,80702,1832,269,0.15,58322,0.78
Barnard College  ,NY,Mid-Atlantic,,84409,3188,416,0.13,36454,0.42
Barry University,FL,Southeast,,50558,,,,,
Bates College,ME,New England,Need-Based,80440,1790,158,0.09,66338,0.54
Baylor University,TX,Southwest,Merit,70171,14885,506,0.03,22954,0.61
Belmont University,TN,Southeast,Merit,60480,7087,54,0.01,,
Beloit College ,WI,Great Lakes,Need & Merit,69102,921,139,0.15,44061,0.99
Bennington College,VT,New England,Need & Merit,82968,695,114,0.16,54787,1
Bentley University,MA,New England,Merit,77770,3856,553,0.14,21541,0.43
Bethel University (TN),TN,Southeast,Need & Merit,33328,1759,7,0,15175,0.57
Biola University,CA,West Coast,,59896,3188,221,0.07,20747,0.82
Birmingham-Southern College,AL,Southeast,Need & Merit,39020,969,14,0.01,12139,0.79
Boise State University,ID,Rocky Mts,,46053,,,,,
Boston College ,MA,New England,,83746,,,,,
Boston University ,MA,New England,Merit,82760,17415,3980,0.23,41958,0.05
Bowdoin College,ME,New England,Need-Based,80390,1909,121,0.06,72348,0.53
Bradley University,IL,Great Lakes,Merit,53436,4214,91,0.02,31205,0.97
Brandeis University,MA,New England,Need & Merit,81914,3566,774,0.22,47514,0.16
Bridgewater State University,MA,New England,No Aid,35453,6520,34,0.01,,
Brigham Young University (2),UT,Rocky Mts,,21120,28282,908,0.03,6354,0.64
Brown University,RI,New England,Need-Based,83686,7166,831,0.12,67798,0.25
